source;diver_id;activity;month;year;country;site;longitude;latitude;mpa;dive_site;reef_type;visibility_m
jimenez_gutierrez_et_al_2009;1;scuba;april;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;2;scuba;april;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;3;scuba;april;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;4;scuba;april;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;5;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;6;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;7;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;8;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;9;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;10;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;11;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;12;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;13;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;14;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;15;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;16;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;17;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;18;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;19;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;20;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;21;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;22;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;23;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;24;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;25;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;26;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;27;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;28;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;29;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;30;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;31;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;32;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;33;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;34;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;35;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;36;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;37;scuba;july;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;38;scuba;october;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;39;scuba;october;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;40;scuba;october;2004;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;41;scuba;may;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;42;scuba;may;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;43;scuba;may;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;44;scuba;may;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;45;scuba;may;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;46;scuba;june;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;47;scuba;june;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;48;scuba;june;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;49;scuba;july;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;50;scuba;july;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;51;scuba;july;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;52;scuba;july;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;53;scuba;july;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;54;scuba;july;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;55;scuba;august;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;56;scuba;august;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;57;scuba;august;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;58;scuba;august;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;59;scuba;august;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;60;scuba;august;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;61;scuba;august;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;62;scuba;august;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;63;scuba;august;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;64;scuba;august;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;65;scuba;august;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;66;scuba;august;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
jimenez_gutierrez_et_al_2009;67;scuba;august;2005;spain;benidorm;38.535.367; -0.126224;yes;la_llosa;rocky_reef;NA
